iter 	posterior 	likelihood 	prior 	Tree0Likelihood	Tree.height	Tree.treeLength	clockRate	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD	mrca.date-backward(1)
79	-3921.55	-3897.14	-24.4084	-3897.14	3.31112	13.6322	0.0471189	-18.4793	0.1	0.5	1	3.31112	0	1.44254
80	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
81	-3925.45	-3935.09	9.64315	-3935.09	0.216672	1.26971	0.285721	9.38334	0.1	0.5	1	0.216672	0	0.175498
82	nan	-3882.59	nan	-3882.59	0.585173	2.94737	0.16323	nan	0.1	0.5	1	0.585173	0	0.352817
83	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
84	nan	-3879.49	nan	-3879.49	0.657148	3.04084	0.183718	nan	0.1	0.5	1	0.657148	0	0.359125
85	-3863.44	-3896.55	33.1083	-3896.55	0.403223	2.22977	0.209798	33.2216	0.1	0.5	1	0.403223	0	0.280876
86	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
87	nan	-3880.45	nan	-3880.45	0.995581	4.3986	0.119267	nan	0.1	0.5	1	0.995581	0	0.439327
88	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
89	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
90	-3861.06	-3894.8	33.7357	-3894.8	0.403223	2.18719	0.209798	33.849	0.1	0.5	1	0.403223	0	0.276133
91	nan	-3879.7	nan	-3879.7	0.657148	3.0506	0.183718	nan	0.1	0.5	1	0.657148	0	0.362113
92	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
93	nan	-3879.7	nan	-3879.7	0.657148	3.0506	0.183718	nan	0.1	0.5	1	0.657148	0	0.362113
94	nan	-3904.13	nan	-3904.13	0.898455	4.96425	0.0810449	nan	0.1	0.5	1	0.898455	0	0.674981
95	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
96	-4020.96	-3997.12	-23.8404	-3997.12	1.74303	5.72933	0.157759	-21.0475	0.1	0.5	1	1.74303	0	0.452322
97	-3921.49	-3897.16	-24.3276	-3897.16	3.31112	13.1702	0.0471189	-18.3985	0.1	0.5	1	3.31112	0	1.2121
98	nan	-3877.81	nan	-3877.81	1.37692	6.81567	0.0817991	nan	0.1	0.5	1	1.37692	0	0.83187
99	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
100	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
101	-3916.23	-3891.74	-24.4964	-3891.74	3.31112	13.486	0.0471189	-18.5673	0.1	0.5	1	3.31112	0	1.3702
102	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
103	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
104	-3861.06	-3894.8	33.7357	-3894.8	0.403223	2.18719	0.209798	33.849	0.1	0.5	1	0.403223	0	0.276133
105	nan	-3904.13	nan	-3904.13	0.898455	4.96425	0.0810449	nan	0.1	0.5	1	0.898455	0	0.674981
106	nan	-3904.13	nan	-3904.13	0.898455	4.96425	0.0810449	nan	0.1	0.5	1	0.898455	0	0.674981
107	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
108	-4021.07	-3997.83	-23.2391	-3997.83	1.74303	5.67224	0.157759	-20.4461	0.1	0.5	1	1.74303	0	0.452322
109	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
110	-3916.23	-3891.74	-24.4964	-3891.74	3.31112	13.486	0.0471189	-18.5673	0.1	0.5	1	3.31112	0	1.3702
111	nan	-3876.35	nan	-3876.35	0.657148	2.97895	0.183718	nan	0.1	0.5	1	0.657148	0	0.328341
112	-3916.23	-3891.74	-24.4964	-3891.74	3.31112	13.486	0.0471189	-18.5673	0.1	0.5	1	3.31112	0	1.3702
113	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
114	-4020.71	-3997.42	-23.2955	-3997.42	1.74303	5.74877	0.157759	-20.5026	0.1	0.5	1	1.74303	0	0.461137
115	nan	-3883.48	nan	-3883.48	0.585173	2.89217	0.16323	nan	0.1	0.5	1	0.585173	0	0.334816
116	nan	-3875.62	nan	-3875.62	0.679977	3.06309	0.176917	nan	0.1	0.5	1	0.679977	0	0.337608
117	nan	-3879.62	nan	-3879.62	0.657148	2.89124	0.183718	nan	0.1	0.5	1	0.657148	0	0.30423
118	-3917.42	-3892.77	-24.6477	-3892.77	3.31112	13.548	0.0471189	-18.7186	0.1	0.5	1	3.31112	0	1.44344
119	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
120	-4020.96	-3997.12	-23.8404	-3997.12	1.74303	5.72933	0.157759	-21.0475	0.1	0.5	1	1.74303	0	0.452322
121	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
122	-4020.79	-3997.32	-23.4733	-3997.32	1.74303	5.70014	0.157759	-20.6804	0.1	0.5	1	1.74303	0	0.452322
123	nan	-3883.48	nan	-3883.48	0.585173	2.89217	0.16323	nan	0.1	0.5	1	0.585173	0	0.334816
124	-3917.93	-3893.2	-24.7313	-3893.2	3.31112	13.2611	0.0471189	-18.8022	0.1	0.5	1	3.31112	0	1.23218
125	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
126	nan	-3879.11	nan	-3879.11	0.657148	3.16651	0.183718	nan	0.1	0.5	1	0.657148	0	0.395803
127	nan	-3905.25	nan	-3905.25	0.898455	4.93539	0.0810449	nan	0.1	0.5	1	0.898455	0	0.667485
128	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
129	nan	-3904.13	nan	-3904.13	0.898455	4.96425	0.0810449	nan	0.1	0.5	1	0.898455	0	0.674981
130	nan	-3879.11	nan	-3879.11	0.657148	3.16651	0.183718	nan	0.1	0.5	1	0.657148	0	0.395803
131	nan	-3904.13	nan	-3904.13	0.898455	4.96425	0.0810449	nan	0.1	0.5	1	0.898455	0	0.674981
132	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
133	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
134	nan	-3878.34	nan	-3878.34	1.37692	6.55265	0.0817991	nan	0.1	0.5	1	1.37692	0	0.723584
135	nan	-3904.95	nan	-3904.95	0.898455	4.91821	0.0810449	nan	0.1	0.5	1	0.898455	0	0.644876
136	-3861.06	-3894.8	33.7357	-3894.8	0.403223	2.18719	0.209798	33.849	0.1	0.5	1	0.403223	0	0.276133
137	nan	-3875.9	nan	-3875.9	0.995581	4.74315	0.119267	nan	0.1	0.5	1	0.995581	0	0.54928
138	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
139	nan	-3877.34	nan	-3877.34	0.679977	3.18588	0.176917	nan	0.1	0.5	1	0.679977	0	0.360815
140	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
141	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
142	nan	-3878.76	nan	-3878.76	0.995581	4.61159	0.119267	nan	0.1	0.5	1	0.995581	0	0.480734
143	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
144	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
145	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
146	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
147	nan	-3879.26	nan	-3879.26	0.657148	2.88977	0.183718	nan	0.1	0.5	1	0.657148	0	0.314636
148	nan	-3876.23	nan	-3876.23	0.995581	4.73272	0.119267	nan	0.1	0.5	1	0.995581	0	0.538349
149	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
150	nan	-3882.59	nan	-3882.59	0.585173	2.94737	0.16323	nan	0.1	0.5	1	0.585173	0	0.352817
151	nan	-3883.48	nan	-3883.48	0.585173	2.89217	0.16323	nan	0.1	0.5	1	0.585173	0	0.334816
152	nan	-3880.55	nan	-3880.55	1.37692	6.52071	0.0817991	nan	0.1	0.5	1	1.37692	0	0.711525
153	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
154	-4021.07	-3997.83	-23.2391	-3997.83	1.74303	5.67224	0.157759	-20.4461	0.1	0.5	1	1.74303	0	0.452322
155	nan	-3878.12	nan	-3878.12	1.37692	6.39937	0.0817991	nan	0.1	0.5	1	1.37692	0	0.74727
156	nan	-3880.55	nan	-3880.55	1.37692	6.52071	0.0817991	nan	0.1	0.5	1	1.37692	0	0.711525
157	nan	-3904.13	nan	-3904.13	0.898455	4.96425	0.0810449	nan	0.1	0.5	1	0.898455	0	0.674981
158	nan	-3879.8	nan	-3879.8	1.37692	6.84707	0.0817991	nan	0.1	0.5	1	1.37692	0	0.86976
159	nan	-3883.48	nan	-3883.48	0.585173	2.89217	0.16323	nan	0.1	0.5	1	0.585173	0	0.334816
160	nan	-3878.91	nan	-3878.91	0.657148	3.04412	0.183718	nan	0.1	0.5	1	0.657148	0	0.341063
161	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
162	nan	-3880.24	nan	-3880.24	1.37692	7.00187	0.0817991	nan	0.1	0.5	1	1.37692	0	0.820684
163	nan	-3878.62	nan	-3878.62	1.37692	6.47876	0.0817991	nan	0.1	0.5	1	1.37692	0	0.734562
164	-4020.71	-3997.42	-23.2955	-3997.42	1.74303	5.74877	0.157759	-20.5026	0.1	0.5	1	1.74303	0	0.461137
165	nan	-3894.44	nan	-3894.44	3.31112	13.3491	0.0471189	nan	0.1	0.5	1	3.31112	0	1.28637
166	nan	-3875.95	nan	-3875.95	1.37692	6.48295	0.0817991	nan	0.1	0.5	1	1.37692	0	0.737466
167	nan	-3880.55	nan	-3880.55	1.37692	6.52071	0.0817991	nan	0.1	0.5	1	1.37692	0	0.711525
168	-4020.96	-3997.12	-23.8404	-3997.12	1.74303	5.72933	0.157759	-21.0475	0.1	0.5	1	1.74303	0	0.452322
169	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
170	nan	-3879.13	nan	-3879.13	1.37692	6.39403	0.0817991	nan	0.1	0.5	1	1.37692	0	0.657607
171	-3917.93	-3893.2	-24.7313	-3893.2	3.31112	13.2611	0.0471189	-18.8022	0.1	0.5	1	3.31112	0	1.23218
172	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
173	nan	-3880.55	nan	-3880.55	1.37692	6.52071	0.0817991	nan	0.1	0.5	1	1.37692	0	0.711525
174	nan	-3877.12	nan	-3877.12	0.657148	3.03743	0.183718	nan	0.1	0.5	1	0.657148	0	0.323449
175	nan	-3882.59	nan	-3882.59	0.585173	2.94737	0.16323	nan	0.1	0.5	1	0.585173	0	0.352817
176	nan	-3883.48	nan	-3883.48	0.585173	2.89217	0.16323	nan	0.1	0.5	1	0.585173	0	0.334816
177	nan	-3878.76	nan	-3878.76	0.995581	4.61159	0.119267	nan	0.1	0.5	1	0.995581	0	0.480734
178	nan	-3880.55	nan	-3880.55	1.37692	6.52071	0.0817991	nan	0.1	0.5	1	1.37692	0	0.711525
179	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
180	-3917.93	-3893.2	-24.7313	-3893.2	3.31112	13.2611	0.0471189	-18.8022	0.1	0.5	1	3.31112	0	1.23218
181	-3920.28	-3896.1	-24.1848	-3896.1	3.31112	13.2532	0.0471189	-18.2558	0.1	0.5	1	3.31112	0	1.45526
182	nan	-3876.86	nan	-3876.86	0.679977	3.01801	0.176917	nan	0.1	0.5	1	0.679977	0	0.339074
183	-4025.66	-4002.57	-23.0863	-4002.57	1.74303	5.52548	0.157759	-20.2934	0.1	0.5	1	1.74303	0	0.373018
184	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
185	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
186	nan	-3880.82	nan	-3880.82	0.657148	2.96195	0.183718	nan	0.1	0.5	1	0.657148	0	0.368176
187	-3861.06	-3894.8	33.7357	-3894.8	0.403223	2.18719	0.209798	33.849	0.1	0.5	1	0.403223	0	0.276133
