Iteration	Posterior	Likelihood	Prior	age_ursinae	diversification	extant_mrca	extinction_rate	speciation_rate	turnover
1450	-5876.566	-5865.035	-11.53122	1.855888	0.04021821	1.876193	0.04021044	0.08042865	0.4999517
1460	-5880.682	-5867.634	-13.04745	1.855888	-0.2689131	1.90664	0.2986426	0.02972944	10.04535
1470	-5878.108	-5864.037	-14.0711	1.855888	-0.377429	1.858156	0.4299903	0.05256135	8.180732
1480	-5875.519	-5863.033	-12.4868	1.855888	0.240762	1.858156	0.01309727	0.2538592	0.05159265
1490	-5875.312	-5863.566	-11.74592	1.855888	-0.1401734	1.86004	0.1501097	0.009936287	15.10723
1500	-5874.954	-5862.997	-11.95679	1.855888	-0.09385619	1.858566	0.1415594	0.04770322	2.967502
1510	-5878.935	-5866.44	-12.49518	1.855888	0.00583384	1.862485	0.1281435	0.1339773	0.9564565
1520	-5875.498	-5863.075	-12.42317	1.855888	-0.1807711	1.863368	0.2175286	0.03675754	5.917932
1530	-5883.755	-5871.956	-11.79875	1.855888	-0.05924362	1.924926	0.09960829	0.04036468	2.467709
1540	-5882.34	-5869.62	-12.72019	1.855888	-0.1311726	1.85807	0.2130159	0.0818432	2.602731
1550	-5878.937	-5867.741	-11.19574	1.861096	0.04551483	1.876098	0.01301066	0.05852549	0.2223076
1560	-5876.777	-5863.535	-13.24175	1.861096	0.1209801	1.865157	0.1207116	0.2416916	0.4994445
1570	-5876.152	-5863.659	-12.49318	1.861096	-0.0189554	1.868433	0.1389608	0.1200054	1.157955
1580	-5879.387	-5864.702	-14.68559	1.861096	0.2626011	1.86802	0.1452644	0.4078655	0.3561576
1590	-5875.905	-5863.453	-12.45216	1.861096	0.036958	1.863748	0.1091693	0.1461273	0.7470835
1600	-5874.512	-5862.198	-12.31394	1.861096	-0.1515649	1.867696	0.1942683	0.04270336	4.549251
1610	-5874.999	-5862.388	-12.61018	1.861096	-0.2562728	1.862335	0.2696628	0.01339007	20.13902
1620	-5880.861	-5866.279	-14.58149	1.861096	-0.5061478	1.900107	0.5250054	0.0188576	27.84052
1630	-5874.573	-5863.248	-11.32518	1.861096	-0.02032714	1.876076	0.05547762	0.03515048	1.578289
1640	-5877.34	-5864.914	-12.42546	1.861096	-0.0375424	1.877106	0.1423627	0.1048203	1.35816
1650	-5875.042	-5864.078	-10.96472	1.861096	0.0317585	1.878017	0.002204325	0.03396283	0.06490406
1660	-5876.809	-5863.749	-13.06084	1.861096	-0.1773471	1.868037	0.2581989	0.08085177	3.193485
1670	-5876.905	-5864.337	-12.56813	1.861096	0.1269599	1.873889	0.0711675	0.1981274	0.3592008
1680	-5877.255	-5865.157	-12.09839	1.861096	-0.01909982	1.873423	0.1107696	0.09166978	1.208355
1690	-5873.621	-5862.291	-11.33006	1.861096	0.06157769	1.861398	0.01821946	0.07979714	0.2283222
1700	-5876.096	-5864.305	-11.79098	1.861096	-0.02048819	1.86353	0.09189611	0.07140792	1.286918
1710	-5874.502	-5862.58	-11.92137	1.861096	-0.07990402	1.86353	0.1311632	0.0512592	2.558823
1720	-5877.222	-5862.776	-14.44646	1.861096	-0.1445433	1.869424	0.3327546	0.1882113	1.767984
1730	-5875.048	-5862.543	-12.50528	1.861096	0.1022099	1.864653	0.08072287	0.1829328	0.4412706
1740	-5875.929	-5863.692	-12.2373	1.861096	0.0603194	1.876281	0.08081981	0.1411392	0.5726248
1750	-5876.041	-5864.027	-12.01375	1.861096	0.04740429	1.881992	0.07029598	0.1177003	0.5972457
1760	-5877.777	-5865.418	-12.35898	1.861096	0.103681	1.865557	0.06974479	0.1734258	0.4021593
1770	-5878.771	-5864.91	-13.86048	1.861096	-0.3444489	1.870277	0.3979795	0.05353058	7.43462
1780	-5877.292	-5864.445	-12.84657	1.861096	0.0847494	1.868864	0.112159	0.1969084	0.5695998
1790	-5876.488	-5865.091	-11.39777	1.861096	0.05098753	1.87425	0.02578242	0.07676995	0.33584
1800	-5877.059	-5862.813	-14.24559	1.861096	-0.3888486	1.861648	0.4471359	0.05828731	7.671239
1810	-5877.089	-5864.399	-12.68984	1.861096	-0.2847771	1.879698	0.2874659	0.002688758	106.914
1820	-5874.396	-5862.799	-11.59632	1.861096	0.03992315	1.863419	0.04783515	0.0877583	0.5450783
1830	-5874.142	-5861.812	-12.33005	1.857583	0.05690926	1.858468	0.09227931	0.1491886	0.6185414
1840	-5872.948	-5861.331	-11.61784	1.857583	-0.1395664	1.858635	0.1411428	0.001576384	89.53578
1850	-5873.067	-5862.134	-10.93327	1.857583	0.02181973	1.858834	0.009294319	0.03111405	0.2987177
1860	-5875.961	-5862.637	-13.32413	1.858262	0.2855082	1.858872	0.04824244	0.3337507	0.1445464
1870	-5875.551	-5863.696	-11.85507	1.858262	-0.0687198	1.862418	0.1212772	0.05255744	2.307518
1880	-5874.229	-5862.281	-11.94816	1.858262	-0.0612786	1.863994	0.1237012	0.0624226	1.981673
1890	-5873.772	-5862.952	-10.82041	1.858262	0.003978697	1.862987	0.008719306	0.012698	0.6866675
1900	-5876.296	-5862.629	-13.66661	1.858262	-0.4085129	1.861192	0.4203617	0.01184885	35.47701
1910	-5873.872	-5862.766	-11.10583	1.858262	0.03291236	1.872499	0.0135841	0.04649646	0.2921535
1920	-5875.307	-5862.762	-12.54543	1.858262	-0.2026069	1.868017	0.236998	0.03439113	6.891254
1930	-5876.738	-5863.616	-13.12265	1.858262	-0.3410701	1.872207	0.3475151	0.006444922	53.92075
1940	-5875.725	-5864.286	-11.43875	1.867253	0.003441613	1.881333	0.05091127	0.05435288	0.9366802
1950	-5878.743	-5865.888	-12.85503	1.867253	-0.09908691	1.875597	0.2037257	0.1046388	1.946943
1960	-5875.987	-5863.785	-12.20174	1.865246	-0.2015448	1.874687	0.2112086	0.009663775	21.8557
1970	-5876.251	-5864.889	-11.36277	1.865246	-0.08519808	1.882368	0.08979458	0.004596494	19.53545
1980	-5874.697	-5863.224	-11.47352	1.865246	-0.1001171	1.87373	0.1073465	0.007229355	14.8487
1990	-5876.649	-5864.424	-12.22459	1.865246	-0.1616203	1.867944	0.193515	0.0318947	6.067309
2000	-5881.276	-5868.179	-13.09729	1.865246	0.1020238	1.895155	0.1155419	0.2175657	0.5310667
2010	-5877.651	-5866.274	-11.37731	1.865246	0.05823011	1.869966	0.02133331	0.07956342	0.2681296
2020	-5879.041	-5867.325	-11.71528	1.862104	0.06883358	1.887564	0.03699563	0.1058292	0.3495786
2030	-5875.942	-5864.191	-11.75171	1.854207	0.06353055	1.864827	0.0468217	0.1103522	0.4242931
2040	-5880.317	-5866.303	-14.01325	1.854207	-0.4789302	1.863002	0.4789495	1.934061e-05	24763.93
2050	-5879.598	-5866.464	-13.13397	1.854207	0.1527917	1.867766	0.09770146	0.2504931	0.3900365
2060	-5877.786	-5864.365	-13.42073	1.854207	0.05415101	1.864108	0.1658545	0.2200055	0.7538652
2070	-5875.218	-5863.969	-11.24917	1.854207	-0.01128445	1.869858	0.0466805	0.03539605	1.318805
2080	-5874.814	-5862.3	-12.51359	1.840748	0.1181613	1.850822	0.07583115	0.1939924	0.3908975
2090	-5871.998	-5860.773	-11.22482	1.840748	-0.02718802	1.848094	0.05773312	0.0305451	1.890094
2100	-5876.671	-5861.907	-14.76436	1.840748	-0.3945355	1.846734	0.4849706	0.09043509	5.362637
2110	-5874.11	-5861.3	-12.80987	1.840748	-0.06346477	1.847759	0.1870027	0.123538	1.513727
2120	-5876.885	-5865.389	-11.49683	1.840748	-0.1018821	1.861431	0.1127484	0.01086624	10.37602
2130	-5874.049	-5861.091	-12.95818	1.840748	-0.09002397	1.847557	0.2109288	0.1209048	1.744585
2140	-5874.956	-5861.987	-12.9694	1.840748	-0.06938576	1.845002	0.2013721	0.1319864	1.525704
2150	-5871.022	-5858.527	-12.49504	1.840748	-0.2376399	1.841092	0.256188	0.01854803	13.81214
2160	-5870.974	-5859.508	-11.46552	1.840748	-0.004254719	1.849996	0.06333194	0.05907722	1.07202
2170	-5870.94	-5859.186	-11.75334	1.840748	-0.05413204	1.847518	0.1094933	0.05536125	1.977797
2180	-5871.219	-5860.07	-11.14828	1.840748	-0.04304527	1.842211	0.0614303	0.01838503	3.341321
2190	-5874.004	-5862.036	-11.9682	1.840748	-0.0859104	1.875677	0.1352893	0.04937886	2.739821
2200	-5872.084	-5859.669	-12.41469	1.840748	-0.2322147	1.846713	0.2469077	0.01469299	16.80445
2210	-5872.908	-5860.708	-12.19997	1.840748	0.166571	1.845744	0.03184391	0.1984149	0.1604915
2220	-5873.497	-5862.38	-11.11669	1.840748	-0.0623311	1.854422	0.06622095	0.003889846	17.02405
2230	-5873.373	-5861.047	-12.3258	1.856838	0.09192582	1.859335	0.0743098	0.1662356	0.4470149
2240	-5878.335	-5864.91	-13.42435	1.845757	-0.3444165	1.869309	0.3693224	0.0249059	14.82871
2250	-5872.199	-5860.581	-11.61746	1.845757	-0.06774211	1.84892	0.1064189	0.03867678	2.751493
2260	-5874.028	-5862.502	-11.52556	1.845757	0.0158782	1.86097	0.05527431	0.07115252	0.7768427
2270	-5873.086	-5859.909	-13.1776	1.845757	-0.1211763	1.84594	0.2414349	0.1202586	2.007631
2280	-5873.468	-5860.606	-12.86157	1.845757	0.07201825	1.851421	0.1223056	0.1943239	0.6293906
2290	-5874.939	-5862.236	-12.70311	1.845757	0.0955873	1.866824	0.09728508	0.1928724	0.5044013
2300	-5877.121	-5862.623	-14.49814	1.845757	0.4946242	1.849542	0.02611182	0.520736	0.05014406
2310	-5873.17	-5860.382	-12.78805	1.845757	0.1979304	1.858729	0.0546083	0.2525387	0.2162374
2320	-5876.321	-5863.503	-12.81788	1.845757	0.2149038	1.8573	0.04894677	0.2638506	0.1855094
2330	-5875.908	-5860.232	-15.67567	1.845757	-0.3611246	1.850995	0.5244712	0.1633466	3.210787
2340	-5871.583	-5859.81	-11.77291	1.845757	0.003764502	1.849655	0.08135372	0.08511822	0.9557732
2350	-5871.208	-5859.41	-11.79854	1.845757	0.1320587	1.847875	0.02019782	0.1522566	0.1326565
2360	-5874.287	-5861.383	-12.9039	1.845757	0.1731483	1.85372	0.07551399	0.2486623	0.3036809
2370	-5874.837	-5861.873	-12.96362	1.845757	0.1024456	1.849875	0.1149213	0.2173668	0.5286972
2380	-5873.72	-5862.492	-11.22731	1.845757	-0.04084292	1.85473	0.06347218	0.02262926	2.804872
2390	-5870.889	-5859.396	-11.49287	1.845757	-0.08338985	1.846097	0.1060084	0.02261854	4.686792
2400	-5872.674	-5860.98	-11.69439	1.845757	0.1498368	1.850962	0.003535114	0.1533719	0.0230493
2410	-5874.704	-5863.058	-11.6456	1.845757	-0.04739387	1.847851	0.09840484	0.05101097	1.929092
2420	-5873.224	-5858.915	-14.30902	1.841781	-0.1636357	1.844366	0.3372556	0.1736199	1.942494
2430	-5873.06	-5860.731	-12.32863	1.841781	-0.2135348	1.859285	0.2290834	0.01554867	14.73332
2440	-5873.579	-5861.504	-12.07419	1.8431	0.04371687	1.849872	0.08254952	0.1262664	0.6537727
2450	-5872.902	-5860.598	-12.30494	1.8431	0.2076023	1.843269	0.01987925	0.2274815	0.08738841
2460	-5876.72	-5864.211	-12.50958	1.8431	0.08523746	1.843124	0.09331329	0.1785508	0.5226149
2470	-5870.321	-5858.93	-11.39054	1.8431	-0.07932476	1.845849	0.09667203	0.01734727	5.572753
2480	-5873.316	-5859.091	-14.22511	1.8431	-0.09273242	1.843152	0.2961324	0.2034	1.455912
2490	-5870.979	-5859.086	-11.89293	1.8431	-0.08756823	1.843152	0.1372018	0.04963359	2.764294
2500	-5876.409	-5863.372	-13.03676	1.8431	0.3272786	1.881294	0.00575168	0.3330303	0.01727074
2510	-5871.355	-5859.1	-12.2544	1.8431	0.02843453	1.848242	0.1030519	0.1314864	0.7837455
2520	-5874.293	-5861.175	-13.11762	1.8431	0.0360536	1.844773	0.1586545	0.194708	0.8148325
