Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	diversification	extant_mrca	extinction_rate	speciation_rate	turnover
127	1	-5875.68	-5862.452	-13.22859	1.845312	-0.2179473	1.866482	0.2911191	0.07317188	3.978566
128	0	-5872.951	-5861.796	-11.15517	1.847551	0.06467318	1.850433	0.006306087	0.07097927	0.08884406
129	1	-5877.282	-5862.687	-14.59547	1.845312	-0.4986219	1.853566	0.5281939	0.02957199	17.86129
130	0	-5878.692	-5865.74	-12.95204	1.847551	0.3312445	1.850433	0.00253677	0.3337813	0.007600098
131	1	-5873.695	-5861.734	-11.96042	1.845312	-0.187452	1.853609	0.1911467	0.003694723	51.73505
132	0	-5876.123	-5863.528	-12.59452	1.847551	0.2854658	1.850433	0.0004828482	0.2859486	0.001688584
133	1	-5874.242	-5862.675	-11.56698	1.845312	-0.006650625	1.853609	0.07109926	0.06444863	1.103193
134	0	-5872.793	-5861.151	-11.64243	1.847551	0.1459161	1.850433	0.001703769	0.1476199	0.0115416
135	1	-5875.593	-5861.551	-14.04129	1.845312	0.2024481	1.852112	0.1364999	0.3389479	0.4027163
136	0	-5871.962	-5861.173	-10.78963	1.847551	0.01948529	1.852388	0.001150281	0.02063557	0.05574265
137	1	-5874.251	-5860.157	-14.09313	1.845312	-0.1754664	1.852112	0.3283953	0.1529289	2.147372
138	0	-5873.988	-5863.302	-10.68677	1.847551	-0.0006897555	1.852388	0.003460374	0.002770618	1.248954
139	1	-5872.93	-5860.37	-12.55995	1.845312	-0.2108764	1.852112	0.2449812	0.03410483	7.183181
140	0	-5874.368	-5863.445	-10.92262	1.847551	-0.03116099	1.855851	0.03565838	0.004497394	7.928676
141	1	-5872.351	-5861.118	-11.23294	1.845312	-0.02435673	1.859083	0.05461136	0.03025463	1.805058
142	0	-5874.765	-5862.928	-11.83725	1.842145	0.00232201	1.866369	0.08303453	0.08535654	0.9727963
143	1	-5872.081	-5860.792	-11.28829	1.845312	-0.01876096	1.859083	0.05586065	0.03709969	1.505691
144	0	-5876.001	-5864.995	-11.00586	1.842145	0.006809729	1.887113	0.01560135	0.02241108	0.6961446
145	1	-5872.536	-5860.691	-11.84578	1.845312	0.04329617	1.859083	0.06506814	0.1083643	0.6004573
146	0	-5873.343	-5861.036	-12.30752	1.842145	0.03645992	1.849114	0.1023121	0.138772	0.7372675
147	1	-5873.772	-5860.205	-13.56701	1.845312	-0.3706709	1.848518	0.3960159	0.02534505	15.62498
148	0	-5875.153	-5860.532	-14.62141	1.842145	0.1141121	1.849114	0.2167065	0.3308186	0.6550613
149	1	-5870.531	-5859.577	-10.95327	1.845312	-0.04586793	1.848518	0.0471649	0.001296974	36.36534
150	0	-5874.878	-5860.114	-14.76412	1.842145	-0.5180125	1.842723	0.5496948	0.03168222	17.35026
151	1	-5872.117	-5860.855	-11.26253	1.845312	-0.08351357	1.865176	0.08539998	0.001886406	45.27127
152	0	-5875.148	-5862.202	-12.94676	1.842145	0.2172942	1.852479	0.0566608	0.273955	0.2068252
153	1	-5874.123	-5863.079	-11.04395	1.863531	0.01082112	1.865176	0.02156726	0.03238838	0.6658949
154	0	-5876.836	-5864.999	-11.8372	1.842145	-0.002120736	1.856908	0.08734167	0.08522094	1.024885
155	1	-5873.346	-5862.32	-11.02565	1.863531	0.0292455	1.865176	0.01103362	0.04027912	0.2739289
156	0	-5877.502	-5865.259	-12.24355	1.842145	0.002454814	1.842337	0.116234	0.1186888	0.9793172
157	1	-5877.844	-5866.737	-11.10681	1.863531	-0.00793962	1.870889	0.03435075	0.02641113	1.300616
158	0	-5871.876	-5859.875	-12.0012	1.842145	-0.07135852	1.842337	0.1365317	0.06517322	2.094906
159	1	-5879.073	-5867.83	-11.24386	1.861029	-0.0638378	1.887165	0.06913628	0.005298478	13.04833
160	0	-5873.73	-5860.731	-12.99937	1.842145	0.05002368	1.842337	0.1437927	0.1938164	0.7419017
161	1	-5875.619	-5862.883	-12.73656	1.861029	-0.2782587	1.864056	0.28963	0.0113713	25.47027
162	0	-5874.551	-5862.681	-11.87094	1.842145	0.06455327	1.849147	0.05810781	0.1226611	0.4737265
163	1	-5874.547	-5862.88	-11.66637	1.861029	-0.06901543	1.866094	0.1069408	0.03792532	2.819772
164	0	-5874.684	-5863.756	-10.92817	1.842145	0.03523067	1.845697	0.005267843	0.04049851	0.130075
165	1	-5874.855	-5863.259	-11.5959	1.861029	-0.009557415	1.866094	0.07197623	0.06241882	1.153118
166	0	-5873.014	-5861.098	-11.91635	1.842145	0.1879796	1.845697	0.001513515	0.1894931	0.007987179
167	1	-5876.622	-5862.082	-14.54045	1.861029	0.3244428	1.862639	0.1081706	0.4326134	0.25004
168	0	-5873.751	-5861.95	-11.80109	1.842145	0.1302967	1.846246	0.02137149	0.1516682	0.1409095
169	1	-5875.939	-5863.515	-12.42466	1.861029	-0.1555288	1.861708	0.2054489	0.04992003	4.11556
170	0	-5872.017	-5860.477	-11.53928	1.842145	-0.07444489	1.846246	0.1048231	0.03037825	3.450598
171	1	-5877.574	-5864.628	-12.94626	1.861029	0.2073114	1.861708	0.05983062	0.267142	0.2239656
172	0	-5871.018	-5859.833	-11.18487	1.842145	0.01789362	1.846246	0.03271781	0.05061144	0.646451
